Earnings_Year,Earnings_Canada_Yearly,Housing_Price_Year,Composite_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark,Office_year,office_region,office_property_type,office_index_value,consumer_index_year,consumer_index_value
2012,46528.56,2016,483400,431500,628500,398800,338200,1981,"Edmonton, Alberta",Warehouse,64.7,1984,74.8
2012,46640.88,2016,491100,437600,638300,405600,344100,1981,"Edmonton, Alberta",Warehouse,69.6,1984,77
2012,46770.36,2016,495300,440900,643200,411300,347800,1981,"Edmonton, Alberta",Warehouse,61.7,1984,74.8
2012,46727.2,2016,498300,442500,648400,414700,350000,1981,"Edmonton, Alberta",Warehouse,68.3,1984,92.6
2012,46971.08,2016,501000,443100,653400,417600,352000,1981,"Edmonton, Alberta",Shopping centre,69.7,1984,94
2012,46990.84,2016,503800,444700,657000,419300,355000,1981,"Edmonton, Alberta",Shopping centre,62.6,1984,93
2012,47235.24,2016,505800,445800,658900,423100,357500,1981,"Edmonton, Alberta",Shopping centre,67.2,1984,93.9
2013,46718.88,2016,506500,446400,660100,422100,357900,1981,"Edmonton, Alberta",Shopping centre,67.5,1984,93.1
2013,47411.52,2017,514200,452400,673600,426500,360900,1981,"Edmonton, Alberta",Shopping centre,55.3,1984,0
2013,47071.44,2017,526600,461800,691400,436100,369100,1981,"Edmonton, Alberta",Light factory,64.8,1984,0
2013,47081.32,2017,545500,476500,718500,450000,381900,1981,"Edmonton, Alberta",Light factory,65.7,1984,63.5
2013,47349.12,2017,560100,488200,736900,464000,395200,1981,"Edmonton, Alberta",Light factory,68.1,1984,3.7
2013,47420.88,2017,565600,493000,738100,473100,404500,1981,"Edmonton, Alberta",Light factory,60.2,1984,64.5
2013,47154.64,2017,564100,490600,731700,474400,409900,1981,"Edmonton, Alberta",Light factory,58.1,1984,77.1
2013,47179.6,2017,555400,482900,711100,475000,412700,1981,"Edmonton, Alberta",School,63.4,1984,75
2013,47208.72,2017,551200,478300,702200,473100,414300,1981,"Edmonton, Alberta",School,64.6,1984,77.1
2013,47655.4,2017,550900,478500,699400,471200,416500,1981,"Edmonton, Alberta",School,66.2,1984,75
