consumer_index_year,consumer_index_value,office_year,office_index_value,earnings_year,earnings_canada,housing_prices_year,single_family_benchmark,single_family_hpi
2000,1.7,1987,58.4,,,,,
2000,95.3,1987,70.3,,,,,
2000,95.3,1987,65.4,,,,,
2000,113.7,1987,60.9,,,,,
2000,113,1987,68.7,,,,,
2000,113.7,1987,65,,,,,
2000,113,1987,64.6,,,,,
2000,0,1987,69.9,,,,,
2000,0,1987,62.3,,,,,
2000,0,1987,78,,,,,
2000,0,1987,63.8,,,,,
2000,95.7,1987,70.8,,,,,
2000,95.7,1987,67.7,,,,,
2000,1.2,1987,65.5,,,,,
2000,95,1987,69.7,,,,,
2000,94.9,1987,59.7,,,,,
2000,113.3,1987,71.2,,,,,
2000,113,1987,70.6,,,,,
2000,113.3,1987,67.2,,,,,
2000,113,1987,69.7,,,,,
2000,0,1987,72.8,,,,,
2000,0.1,1987,85,,,,,
2000,0,1987,63.3,,,,,
2000,0,1987,66.2,,,,,
2000,96,1987,67,,,,,
2000,95.9,1987,58.6,,,,,
2000,1.4,1987,65.5,,,,,
2000,95.4,1987,67.4,,,,,
2000,95.2,1987,66.2,,,,,
2000,113.9,1987,71.3,,,,,
2000,113.3,1987,61.6,,,,,
2000,113.6,1987,65.5,,,,,
2000,113.2,1987,64.3,,,,,
2000,0,1987,51.6,,,,,
2000,0.1,1987,70.5,,,,,
2000,0,1987,63.9,,,,,
2000,0,1987,77.2,,,,,
2000,96.2,1987,64.8,,,,,
2000,96.1,1987,57.1,,,,,
2000,1.6,1987,68,,,,,
2000,96,1987,61.7,,,,,
2000,95.8,1987,73.9,,,,,
2000,114.6,1987,65.2,,,,,
2000,113.6,1987,54.4,,,,,
2000,114.2,1987,67.3,,,,,
2000,113.4,1987,68.6,,,,,
2000,0,1987,83.8,,,,,
2000,0.1,1987,63.6,,,,,
2000,0,1987,56.6,,,,,
2000,0,1987,70.6,,,,,
2000,96.4,1987,61.5,,,,,
2000,96.2,1987,68.4,,,,,
2000,1.6,1987,62.6,,,,,
2000,96.3,1987,52.7,,,,,
2000,96.1,1987,66.6,,,,,
2000,115,1987,63.1,,,,,
2000,113.8,1987,66.8,,,,,
2000,114.6,1987,64,,,,,
2000,113.6,1987,55.1,,,,,
2000,0,1987,69.4,,,,,
2000,0.1,1987,63.8,,,,,
2000,0,1987,68.1,,,,,
2000,0,1987,65.4,,,,,
2000,96.5,1987,60.5,,,,,
2000,96.3,1987,67.3,,,,,
2000,1.5,1987,66.4,,,,,
2000,96.2,1987,68.5,,,,,
2000,96,1987,67.2,,,,,
2000,114.8,1987,58.6,,,,,
2000,114,1987,69.1,,,,,
2000,114.6,1987,74.4,,,,,
2000,113.7,1987,73.8,,,,,
2000,0,1987,63.2,,,,,
2000,0.1,1987,59.7,,,,,
2000,0,1987,67.7,,,,,
2000,0,1987,63.8,,,,,
2000,96.7,1987,60.3,,,,,
2000,96.5,1987,65.8,,,,,
2000,1.4,1987,58.9,,,,,
2000,96.6,1987,69.7,,,,,
2000,96.4,1987,66.3,,,,,
2000,115.3,1987,64.2,,,,,
2000,114.2,1987,71.7,,,,,
2000,115.2,1987,70.2,,,,,
2000,113.9,1987,73.1,,,,,
2000,0,1987,71.5,,,,,
2000,0.1,1987,72,,,,,
2000,0,1987,72.5,,,,,
2000,0,1987,67.7,,,,,
2000,96.8,1987,74.2,,,,,
2000,96.6,1987,75.2,,,,,
2000,1.5,1987,74.8,,,,,
2000,96.8,1987,71.8,,,,,
